iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
CHL,2022,Winter,0.0,0.0,0.0,0.0,0,Chile,19553036.0,301226575540.242,15405.6165774073,79.176,,8.249
ISL,2022,Winter,0.0,0.0,0.0,0.0,0,Iceland,382003.0,28696453180.1657,75121.0152280628,82.119512195122,,3.789
MUS,2022,Winter,0.0,0.0,0.0,0.0,0,Mauritius,1262523.0,12907767789.5967,10223.7882316574,73.5146341463415,,6.322
PAN,2022,Winter,0.0,0.0,0.0,0.0,0,Panama,4400773.0,76276116700.0,17332.4360742988,79.324,,8.086
WSM,2022,Winter,0.0,0.0,0.0,0.0,0,Samoa,215261.0,832945205.637185,3869.46639492144,71.55,,5.048
SDN,2022,Winter,0.0,0.0,0.0,0.0,0,Sudan,49383346.0,51666875363.0963,1046.24084472656,65.695,,7.53
TGO,2022,Winter,0.0,0.0,0.0,0.0,0,Togo,9089738.0,8169476148.95692,898.758154410712,62.29,72.5999984741211,1.965
ZWE,2022,Winter,0.0,0.0,0.0,0.0,0,Zimbabwe,16069056.0,32789657377.9788,2040.54658705395,62.36,,10.087
ERI,2022,Winter,0.0,0.0,0.0,0.0,0,Eritrea,3409447.0,,,67.789,,5.695
PRY,2022,Winter,0.0,0.0,0.0,0.0,0,Paraguay,6760464.0,41952910858.088,6205.6259537937,72.319,,6.755
BRB,2022,Winter,0.0,0.0,0.0,0.0,0,Barbados,282318.0,6257303500.0,22164.0260273876,75.676,,8.365
CRI,2022,Winter,0.0,0.0,0.0,0.0,0,Costa Rica,5081765.0,69243626028.6698,13625.9008491478,79.316,,11.325
MOZ,2022,Winter,0.0,0.0,0.0,0.0,0,Mozambique,32656246.0,18883528581.3734,578.251663751351,63.011,61.6778205151772,3.596
LKA,2022,Winter,0.0,0.0,0.0,0.0,0,Sri Lanka,22181000.0,74143020262.8076,3342.63650253855,77.3,92.4899978637695,4.528
