country,year,games_type,iso3,actual_medals,predicted_medals,predicted_proba,error,abs_error
Turkmenistan,2020,Summer,TKM,1.0,0.0,0.40266395,1.0,1.0
Uganda,2020,Summer,UGA,4.0,0.0,0.63796806,4.0,4.0
Uzbekistan,2020,Summer,UZB,5.0,11.785202980041504,0.94736713,-6.785202980041504,6.785202980041504
"Venezuela, RB",2020,Summer,VEN,4.0,11.4549560546875,0.9313954,-7.4549560546875,7.4549560546875
Liechtenstein,2020,Summer,LIE,0.0,0.0,0.033352807,0.0,0.0
Algeria,2020,Summer,DZA,0.0,14.197419166564941,0.970137,-14.197419166564941,14.197419166564941
Burundi,2020,Summer,BDI,0.0,0.0,0.0940901,0.0,0.0
Singapore,2020,Summer,SGP,0.0,3.149392604827881,0.8196977,-3.149392604827881,3.149392604827881
Tajikistan,2020,Summer,TJK,0.0,10.065324783325195,0.878911,-10.065324783325195,10.065324783325195
Trinidad and Tobago,2020,Summer,TTO,0.0,3.4632701873779297,0.8240793,-3.4632701873779297,3.4632701873779297
United Arab Emirates,2020,Summer,ARE,0.0,4.335323810577393,0.7409914,-4.335323810577393,4.335323810577393
Viet Nam,2020,Summer,VNM,0.0,6.883063316345215,0.89987755,-6.883063316345215,6.883063316345215
Afghanistan,2020,Summer,AFG,0.0,2.7338294982910156,0.8438555,-2.7338294982910156,2.7338294982910156
Cameroon,2020,Summer,CMR,0.0,5.222890853881836,0.73522866,-5.222890853881836,5.222890853881836
Cyprus,2020,Summer,CYP,0.0,2.9158763885498047,0.8644334,-2.9158763885498047,2.9158763885498047
Gabon,2020,Summer,GAB,0.0,0.0,0.424982,0.0,0.0
Guatemala,2020,Summer,GTM,0.0,0.0,0.61437875,0.0,0.0
Montenegro,2020,Summer,MNE,0.0,0.0,0.37591827,0.0,0.0
Chile,2020,Summer,CHL,0.0,16.511472702026367,0.95753765,-16.511472702026367,16.511472702026367
Iceland,2020,Summer,ISL,0.0,0.0,0.30877173,0.0,0.0
Mauritius,2020,Summer,MUS,0.0,3.292330503463745,0.8105953,-3.292330503463745,3.292330503463745
Panama,2020,Summer,PAN,0.0,5.285975456237793,0.9450337,-5.285975456237793,5.285975456237793
Samoa,2020,Summer,WSM,0.0,0.0,0.2179202,0.0,0.0
Sudan,2020,Summer,SDN,0.0,8.666802406311035,0.7847585,-8.666802406311035,8.666802406311035
Togo,2020,Summer,TGO,0.0,0.0,0.13808408,0.0,0.0
Zimbabwe,2020,Summer,ZWE,0.0,5.720254421234131,0.74452144,-5.720254421234131,5.720254421234131
Eritrea,2020,Summer,ERI,0.0,0.0,0.38122848,0.0,0.0
Paraguay,2020,Summer,PRY,0.0,0.0,0.659362,0.0,0.0
Barbados,2020,Summer,BRB,0.0,0.0,0.5146255,0.0,0.0
Costa Rica,2020,Summer,CRI,0.0,3.4075002670288086,0.9307731,-3.4075002670288086,3.4075002670288086
Mozambique,2020,Summer,MOZ,0.0,0.0,0.49046758,0.0,0.0
Sri Lanka,2020,Summer,LKA,0.0,0.0,0.64307475,0.0,0.0
Uruguay,2020,Summer,URY,0.0,3.34531307220459,0.8400383,-3.34531307220459,3.34531307220459
Tonga,2020,Summer,TON,0.0,0.0,0.22360396,0.0,0.0
Zambia,2020,Summer,ZMB,0.0,0.0,0.7064831,0.0,0.0
Pakistan,2020,Summer,PAK,0.0,26.60357093811035,0.9726501,-26.60357093811035,26.60357093811035
Peru,2020,Summer,PER,0.0,2.0309650897979736,0.9004598,-2.0309650897979736,2.0309650897979736
Suriname,2020,Summer,SUR,0.0,0.0,0.38896403,0.0,0.0
